article_id;full_name;sex;birth_year;city;state;country;continent;latitude;longitude;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
194128;Madame de Pompadour;Female;1721;Paris;;France;Europe;488.567;23.508;Companion;Companions;Public Figure;42;5346389;127295;263.707
74658;Valentinian I;Male;321;Vinkovci;;Croatia;Europe;4.529.111;1.880.111;Politician;Government;Institutions;49;918134;18737;263.632
84099;Ptolemy II Philadelphus;Male;-309;Alexandria;;Egypt;Africa;31.2;2.991.667;Politician;Government;Institutions;41;712294;17373;263.591
113152;Carus;Male;230;Narbonne;;France;Europe;431.836;30.042;Politician;Government;Institutions;43;673730;15668;263.569
77871;Carinus;Male;230;Dalmatia;;Croatia;Europe;4.381.276;1.621.876;Politician;Government;Institutions;41;564592;13771;263.558
243898;Menkaura;Male;-2550;Other;;Unknown;Unknown;;;Politician;Government;Institutions;38;762775;20073;263.544
30876030;Giuseppe Arcimboldo;Male;1527;Milan;;Italy;Europe;4.546.667;918.333;Artist;Fine Arts;Arts;50;3939267;78785;263.532
52201;Jean Racine;Male;1639;La Ferté-Milon;;France;Europe;491.783;31.239;Writer;Language;Humanities;58;3805796;65617;263.529
16844;Kofi Annan;Male;1938;Kumasi;;Ghana;Africa;666.667;-161.667;Diplomat;Government;Institutions;104;6811032;65491;263.496
2009;Alvar Aalto;Male;1898;Kuortane;;Finland;Europe;6.280.833;2.350.833;Architect;Design;Arts;62;3289004;53048;263.485
3747;Bill Gates;Male;1955;Seattle;WA;United States;North America;4.760.972;-12.233.306;Businessperson;Business;Business & Law;123;54216010;440781;263.477
498263;Thutmose I;Male;-1500;Other;;Unknown;Unknown;;;Politician;Government;Institutions;39;734919;18844;26.347
145704;Jean-Baptiste Lamarck;Male;1744;Bazentin;;France;Europe;50.031;27.639;Biologist;Natural Sciences;Science & Technology;62;5545254;89440;263.465
16245;Janis Joplin;Female;1943;Port Arthur;TX;United States;North America;29.885;-93.94;Singer;Music;Arts;57;21526881;377665;263.454
63174;Antoine de Saint-Exupéry;Male;1900;Lyon;;France;Europe;45.76;4.84;Writer;Language;Humanities;76;9899518;130257;263.445
180913;Ivan Turgenev;Male;1818;Oryol;;Russia;Europe;5.296.667;3.606.667;Writer;Language;Humanities;69;2058076;29827;263.423
41980;Bernhard Riemann;Male;1826;Jameln;;Germany;Europe;5.304.222;1.107.861;Mathematician;Math;Science & Technology;71;2164863;30491;263.409
59600;Charles Bukowski;Male;1920;Andernach;;Germany;Europe;5.043.972;740.167;Writer;Language;Humanities;51;14004451;274597;263.407
13062;Georg Philipp Telemann;Male;1681;Magdeburg;;Germany;Europe;5.213.333;1.161.667;Composer;Music;Arts;55;2039138;37075;263.403
166437;Wu Zetian;Female;625;Guangyuan;;China;Asia;3.243.333;10.581.667;Politician;Government;Institutions;31;3782284;122009;263.392
188698;Batu Khan;Male;1207;Mongolia;;Mongolia;Asia;46;105;Politician;Government;Institutions;47;1539071;32746;263.364
80441;Paul Klee;Male;1879;Münchenbuchsee;;Switzerland;Europe;4.701.667;7.45;Painter;Fine Arts;Arts;52;6967247;133986;263.362
12274;Guy de Maupassant;Male;1850;Tourville-sur-Arques;;France;Europe;498.589;11.022;Writer;Language;Humanities;69;10963658;158894;263.343
31069;Themistocles;Male;-525;Athens;;Greece;Europe;3.796.667;2.371.667;Military Personnel;Military;Institutions;47;2258163;48046;263.333
63187;Erich Maria Remarque;Male;1898;Osnabrück;;Germany;Europe;5.228.333;8.05;Writer;Language;Humanities;68;3654359;53741;263.302
159964;Dio Cassius;Male;155;İznik;;Turkey;Asia;4.042.917;2.972.111;Historian;History;Humanities;41;1023415;24961;263.279
62114;Louis XVIII of France;Male;1755;Paris;;France;Europe;488.567;23.508;Politician;Government;Institutions;57;3946982;69245;26.327
20345;Martin of Tours;Male;316;Savaria;;Hungary;Europe;4.723.512;1.662.191;Religious Figure;Religion;Institutions;56;2777619;49600;263.256
3873;Bernard Montgomery, 1st Viscount Montgomery of Alamein;Male;1887;Kennington;;United Kingdom;Europe;;;Military Personnel;Military;Institutions;51;1965909;38547;263.249
32519;Valens;Male;328;Vinkovci;;Croatia;Europe;4.529.111;1.880.111;Politician;Government;Institutions;47;829825;17656;263.236
20796;Malcolm X;Male;1925;Omaha;NE;United States;North America;4.131.667;-9.598.333;Social Activist;Activism;Public Figure;70;25768520;368122;263.226
